volume1,volume2,volume3,volume4,volume5,returns1,returns2,returns3,returns4,returns5,sma1,sma2,sma3,sma4,sma5,lma1,lma2,lma3,lma4,lma5,rsi1,rsi2,rsi3,rsi4,rsi5,atr1,atr2,atr3,atr4,atr5,trades1,trades2,trades3,trades4,trades5,monday,roll,chicago,flag2,trend_boostDT,trend_boostDTprob,trend_TCdeep,trend_TCdeepprob,trend_NN,trend_NNprob,flag1,range_boostDT,range_boostDTprob,range_TCdeep,range_TCdeepprob,range_NN,range_NNprob
65,96,306,60,59,0.00203925637837843,0.00101807084385053,0.0027943622908051,-0.000761324741759495,0.000253839321073368,39.2250000000002,39.2290000000002,39.2510000000002,39.2730000000002,39.2910000000002,39.2256666666667,39.2254166666667,39.2269166666667,39.22775,39.22875,61.3196854631511,68.8770356463805,81.2138015662088,71.7354475306429,73.0183693750987,0.0800000000000054,0.0799999999999983,0.129999999999995,0.0500000000000043,0.0399999999999991,29,60,158,29,34,0,1,1,trend,trend,0.999407052993774,trend,0.658321738243103,trend,0.846199989318848,norange,norange,0.000440396892372519,range,0.597379565238953,norange,0.283836662769318
54,31,16,21,43,0.000287728386390018,0.000287645622579102,-0.000287645622579102,0.000287645622579102,0,34.7169999999998,34.7249999999998,34.7339999999998,34.7429999999998,34.7509999999998,34.7393333333333,34.7446666666667,34.7493333333333,34.7531666666667,34.7565,69.3147648512298,72.6665020040965,64.1079105512358,68.624484149219,68.624484149219,0.0300000000000011,0.0200000000000031,0.0300000000000011,0.0399999999999991,0.0399999999999991,27,17,9,16,26,0,0,1,notrend,notrend,0.0273825470358133,trend,0.80479484796524,notrend,0.247454270720482,range,range,0.979844927787781,norange,0.289659708738327,range,0.76529335975647
1,7,3,0,0,0.000569800585217273,-0.00199572411215021,-0.00142795968859399,0,0,35.073,35.079,35.08,35.081,35.064,35.0646666666666,35.0645,35.0638333333333,35.0631666666666,35.0625833333333,65.1607881134237,38.0623415461349,27.9241555322372,27.9241555322372,27.9241555322372,0.019999999999996,0.0700000000000003,0.0499999999999972,0.0399999999999991,0.0399999999999991,1,4,3,0,0,1,0,0,notrend,notrend,0.284337610006332,notrend,0.495832294225693,notrend,0.224402442574501,range,range,0.748335778713226,range,0.518535017967224,norange,0.161825776100159
54,47,41,65,74,-0.000272071828640641,0.00135961951603969,0.000271702216044556,-0.000543478274246834,-0.000815771629196771,36.791,36.786,36.778,36.768,36.77,36.1455833333334,36.1518333333334,36.1585,36.1649166666667,36.1710833333334,50.1100685249901,61.5050602004939,63.5406496982791,56.2674729898733,46.5077172915107,0.0499999999999972,0.0700000000000003,0.0200000000000031,0.0500000000000043,0.0700000000000003,34,33,32,43,36,0,1,1,trend,notrend,0.186704128980637,trend,0.546744227409363,notrend,0.176323190331459,norange,range,0.841411828994751,range,0.748939633369446,range,0.772415399551392
161,96,157,153,110,0.00332779009267448,0,-0.00249480378878264,0.000277507980135372,0.000277430990820893,36.0739999999999,36.0679999999999,36.0539999999999,36.0469999999999,36.0429999999999,35.6973333333333,35.7048333333333,35.71125,35.7181666666667,35.7250833333333,58.7968954111884,58.7968954111884,41.2537289868299,43.5413888120244,46.1064521366795,0.129999999999995,0.0399999999999991,0.109999999999999,0.0899999999999963,0.0700000000000003,106,66,93,110,67,0,0,0,trend,trend,0.581598818302155,trend,0.913382291793823,trend,0.881070792675018,norange,norange,0.442197740077972,norange,0.123022899031639,norange,0.00334522896446288
17,13,31,13,14,0,0.000251794033811592,-0.000755572381998082,0.000251920898171054,0.00075538213336257,39.6820000000002,39.6890000000002,39.6930000000002,39.6950000000002,39.7020000000002,39.79525,39.7931666666666,39.7909166666666,39.7886666666666,39.7868333333333,70.0318084247125,74.8529996336781,47.0808480453114,54.0296099066884,68.9696707622532,0.019999999999996,0.019999999999996,0.0300000000000011,0.0200000000000031,0.029999999999994,8,7,8,8,5,1,1,0,notrend,notrend,0.00113050325307995,notrend,0.306261986494064,notrend,0.293927222490311,range,range,0.999308824539185,range,0.754812777042389,range,0.772626936435699
13,32,21,13,89,0,-0.00101445608497119,-0.000253774903024251,0.000507485420686127,0.000253646164961818,39.4380000000001,39.4360000000001,39.4360000000001,39.4360000000001,39.4340000000001,39.5399166666666,39.5409166666667,39.5415833333333,39.5424166666667,39.543,62.962952267735,30.4567747500435,26.3068530507641,44.7192423622186,52.0418482998036,0.00999999999999801,0.0400000000000063,0.0200000000000031,0.0200000000000031,0.0300000000000011,10,15,11,8,43,0,1,1,notrend,notrend,0.259662449359894,notrend,0.206000834703445,notrend,0.0589901767671108,range,range,0.772303462028503,range,0.734651625156403,range,0.879562795162201
21,6,6,21,24,0.000244947949785246,0,-0.000244947949785246,0.00097943200777717,-0.000244768083464297,40.8350000000002,40.8320000000002,40.8310000000002,40.8340000000002,40.8350000000002,40.7911666666667,40.7911666666667,40.7910833333334,40.7911666666667,40.7911666666667,44.6231015378345,44.6231015378345,35.5912013856741,67.6261448306373,58.7045818371384,0.0200000000000031,0,0.00999999999999801,0.0399999999999991,0.019999999999996,12,4,6,14,16,1,1,0,trend,notrend,0.00710643362253904,notrend,0.294748425483704,notrend,0.218907460570335,norange,range,0.995177388191223,range,0.781580686569214,range,0.73000580072403
330,701,243,1232,982,-0.00151975713141583,-0.0017759740809038,0.00202942738348977,0.00227819361919357,0.00101086690437624,39.4380000000002,39.4360000000002,39.4410000000002,39.4530000000002,39.4680000000002,39.21775,39.2220833333333,39.2265,39.2318333333333,39.2374166666667,52.0855198001704,35.973652151057,55.2915734212907,68.4008720678667,72.7424236579159,0.0799999999999983,0.109999999999999,0.0799999999999983,0.129999999999995,0.0799999999999983,152,293,130,498,434,0,1,1,notrend,trend,0.978871881961823,notrend,0.346308588981628,notrend,0.467020988464355,range,norange,0.019196979701519,range,0.691324651241302,norange,0.0112659186124802
6,11,9,38,53,0.00143698832027273,0.000574217644259356,-0.000287067606392633,0.000860955713965161,0.00114678911650667,34.783,34.791,34.797,34.805,34.816,34.5978333333334,34.6004166666667,34.603,34.606,34.60925,70.8600079284272,75.9781283328468,68.6135001791775,76.8435944586217,83.7762775053923,0.0499999999999972,0.0300000000000011,0.0200000000000031,0.0500000000000043,0.0399999999999991,4,8,6,22,36,1,0,0,trend,notrend,0.0285498909652233,notrend,0.429189592599869,notrend,0.314409971237183,norange,range,0.978929817676544,range,0.602512240409851,range,0.772516131401062
