,price,size,ask_price,ask_size,bid_price,bid_size
2016-04-06 17:35:55.792040,,16.0,,,,
2016-04-06 17:35:56.393349,38.07,,,,,
2016-04-06 17:35:56.393550,,48.0,,,,
2016-04-06 17:35:56.393971,,,,33.0,,
2016-04-06 17:35:56.394397,,48.0,,,,
2016-04-06 17:35:57.094742,38.06,,,,,
2016-04-06 17:35:57.094933,,4.0,,,,
2016-04-06 17:35:57.095410,,,,9.0,,
2016-04-06 17:35:57.095897,,4.0,,,,
2016-04-06 17:35:57.896291,,,,4.0,,
2016-04-06 17:35:57.896792,,10.0,,,,
2016-04-06 17:35:58.116629,,,,7.0,,
2016-04-06 17:35:58.116936,,7.0,,,,
2016-04-06 17:35:58.999373,,8.0,,,,
2016-04-06 17:36:00.001146,,,,8.0,,
2016-04-06 17:36:00.001572,,4.0,,,,
2016-04-06 17:36:01.003635,,,,13.0,,
2016-04-06 23:54:57.142022,,,38.91,,,
2016-04-06 23:54:57.142074,,,,7.0,,
2016-04-06 23:54:57.142232,,,,7.0,,
2016-04-06 23:54:57.142459,38.92,,,,,
2016-04-06 23:54:57.142488,,5.0,,,,
2016-04-06 23:54:57.142638,,5.0,,,,
2016-04-06 23:54:57.365626,,,,,38.93,
2016-04-06 23:54:57.365690,,,,,,2.0
2016-04-06 23:54:57.365897,,,,,,2.0
2016-04-06 23:54:57.367482,,,38.92,,,
2016-04-06 23:54:57.367513,,,,1.0,,
2016-04-06 23:54:57.367744,38.93,,,,,
2016-04-06 23:54:57.367771,,22.0,,,,
2016-04-06 23:54:57.367920,,,,1.0,,
2016-04-06 23:54:57.368076,,22.0,,,,
2016-04-06 23:54:57.743447,,,,,38.92,
2016-04-06 23:54:57.743501,,,,,,1.0
2016-04-06 23:54:57.743665,,,,,,1.0
2016-04-06 23:54:57.743904,,,38.91,,,
2016-04-06 23:54:57.743933,,,,12.0,,
2016-04-06 23:54:57.744248,38.92,,,,,
2016-04-06 23:54:57.744289,,18.0,,,,
2016-04-06 23:54:57.744464,,,,12.0,,
2016-04-06 23:54:57.744625,,18.0,,,,
2016-04-06 23:54:57.965650,,,38.9,,,
2016-04-06 23:54:57.965691,,,,24.0,,
2016-04-06 23:54:57.965821,,,,24.0,,
2016-04-06 23:54:57.965948,,25.0,,,,
2016-04-06 23:54:58.188932,38.91,,,,,
2016-04-06 23:54:58.188979,,18.0,,,,
2016-04-06 23:54:58.189195,,,,11.0,,
2016-04-06 23:54:58.189400,,18.0,,,,
2016-04-06 23:54:58.412279,,,,,38.91,
2016-04-06 23:54:58.412323,,,,,,1.0
2016-04-06 23:54:58.412479,,,,2.0,,
2016-04-06 23:54:58.412637,,19.0,,,,
2016-04-06 23:55:02.583344,,,,7.0,,
2016-04-06 23:55:02.583669,,,,,38.9,
2016-04-06 23:55:02.583705,,,,,,7.0
2016-04-06 23:55:02.583808,,,,,,7.0
2016-04-06 23:55:02.583961,,,38.89,,,
2016-04-06 23:55:02.583995,,,,16.0,,
2016-04-06 23:55:02.584140,38.9,,,,,
2016-04-06 23:55:02.584174,,6.0,,,,
2016-04-06 23:55:02.584372,,,,16.0,,
2016-04-06 23:55:02.584526,,6.0,,,,
2016-04-06 23:55:02.584633,,,,14.0,,
2016-04-06 23:55:02.584736,,11.0,,,,
2016-04-06 23:55:02.584859,,,,9.0,,
2016-04-06 23:55:02.584987,,13.0,,,,
2016-04-06 23:55:02.585093,,,,4.0,,
2016-04-06 23:55:02.585281,,14.0,,,,
2016-04-06 23:55:02.585493,,,,1.0,,
2016-04-06 23:55:02.585666,,,38.88,,,
2016-04-06 23:55:02.585700,,,,52.0,,
2016-04-06 23:55:02.585806,,,,52.0,,
2016-04-06 23:55:02.585953,,,38.89,,,
2016-04-06 23:55:02.585986,,,,1.0,,
2016-04-06 23:55:02.586105,,,,1.0,,
2016-04-06 23:55:02.586203,,,,4.0,,
2016-04-06 23:55:02.586304,,12.0,,,,
2016-04-06 23:55:02.586403,,13.0,,,,
2016-04-06 23:55:02.586731,,,,,,1.0
2016-04-06 23:55:02.586868,,,38.9,,,
2016-04-06 23:55:02.586899,,,,5.0,,
2016-04-06 23:55:02.587036,38.91,,,,,
2016-04-06 23:55:02.587067,,25.0,,,,
2016-04-06 23:55:02.587161,,,,5.0,,
2016-04-06 23:55:02.587260,,25.0,,,,
2016-04-06 23:55:02.587361,,,,10.0,,
2016-04-06 23:55:02.587460,,20.0,,,,
2016-04-06 23:55:02.587618,,,,17.0,,
2016-04-06 23:55:02.587740,,15.0,,,,
2016-04-06 23:55:03.055592,,,,15.0,,
2016-04-06 23:55:03.055922,,14.0,,,,
2016-04-06 23:55:03.957587,,,,3.0,,
2016-04-06 23:55:04.180514,,,,1.0,,
2016-04-06 23:55:04.403512,,,38.89,,,
2016-04-06 23:55:04.403633,,,,23.0,,
2016-04-06 23:55:04.403848,,,,23.0,,
2016-04-06 23:55:04.404114,,,38.9,,,
2016-04-06 23:55:04.404176,,,,1.0,,
2016-04-06 23:55:04.404451,,,,1.0,,
2016-04-06 23:55:04.859264,,,,4.0,,
2016-04-06 23:55:05.082697,,,,20.0,,
2016-04-06 23:55:05.082867,,1.0,,,,
2016-04-06 23:55:05.306795,,,,,38.91,
2016-04-06 23:55:05.306889,,,,,,1.0
2016-04-06 23:55:05.307120,,,,14.0,,
2016-04-06 23:55:05.307318,,2.0,,,,
2016-04-06 23:55:05.307609,,,38.91,,,
2016-04-06 23:55:05.307673,,,,1.0,,
2016-04-06 23:55:05.307938,38.92,,,,,
2016-04-06 23:55:05.307998,,20.0,,,,
2016-04-06 23:55:05.308176,,,,1.0,,
2016-04-06 23:55:05.308364,,20.0,,,,
2016-04-06 23:55:05.528693,,,38.9,,,
2016-04-06 23:55:05.528778,,,,9.0,,
2016-04-06 23:55:05.528955,38.91,,,,,
2016-04-06 23:55:05.529004,,2.0,,,,
2016-04-06 23:55:05.529126,,,,9.0,,
2016-04-06 23:55:05.529249,,2.0,,,,
2016-04-06 23:55:05.529371,,9.0,,,,
2016-04-06 23:55:05.752303,,,,3.0,,
2016-04-06 23:55:05.752782,,11.0,,,,
2016-04-06 23:55:05.975428,,,,1.0,,
2016-04-06 23:55:05.975876,,,,4.0,,
2016-04-06 23:55:05.976151,,12.0,,,,
2016-04-06 23:55:06.198343,,,,,,3.0
2016-04-06 23:55:06.964551,,,,5.0,,
2016-04-06 23:55:06.964796,,9.0,,,,
2016-04-06 23:55:07.967296,38.92,,,,,
2016-04-06 23:55:07.967447,,16.0,,,,
2016-04-06 23:55:07.967704,,,,26.0,,
2016-04-06 23:55:07.967959,,16.0,,,,
2016-04-06 23:55:08.190285,,,38.91,,,
2016-04-06 23:55:08.190398,,,,4.0,,
2016-04-06 23:55:08.190588,,,,4.0,,
2016-04-06 23:55:08.413676,,,,10.0,,
2016-04-06 23:55:09.269380,,,,12.0,,
2016-04-06 23:55:09.269632,,15.0,,,,
2016-04-06 23:55:09.670867,,,,19.0,,
2016-04-06 23:55:09.671187,,4.0,,,,
2016-04-06 23:55:09.972216,,,,,38.92,
2016-04-06 23:55:09.972307,,,,,,2.0
2016-04-06 23:55:09.972563,,,,,,2.0
2016-04-06 23:55:09.972827,,,38.92,,,
2016-04-06 23:55:09.972890,,,,2.0,,
2016-04-06 23:55:09.973152,38.93,,,,,
2016-04-06 23:55:09.973245,,23.0,,,,
2016-04-06 23:55:09.973580,,,,2.0,,
2016-04-06 23:55:09.973782,,23.0,,,,
2016-04-06 23:55:10.194637,,,,3.0,,
2016-04-06 23:55:10.194967,,21.0,,,,
2016-04-06 23:55:10.873358,,,38.91,,,
2016-04-06 23:55:10.873471,,,,10.0,,
2016-04-06 23:55:10.873742,38.92,,,,,
2016-04-06 23:55:10.873806,,10.0,,,,
2016-04-06 23:55:10.873993,,,,10.0,,
2016-04-06 23:55:10.874194,,10.0,,,,
2016-04-06 23:55:11.097037,,,,,,1.0
2016-04-06 23:55:11.319703,,,,3.0,,
2016-04-06 23:55:11.319950,,16.0,,,,
2016-04-06 23:55:12.176774,,17.0,,,,
2016-04-06 23:55:12.400265,,,,,38.91,
2016-04-06 23:55:12.400334,,,,,,6.0
2016-04-06 23:55:12.400515,,,,,,6.0
2016-04-06 23:55:12.400778,,,38.9,,,
2016-04-06 23:55:12.400838,,,,10.0,,
2016-04-06 23:55:12.401024,,,,10.0,,
2016-04-06 23:55:12.401211,,21.0,,,,
2016-04-06 23:55:12.622805,38.91,,,,,
2016-04-06 23:55:12.622957,,1.0,,,,
2016-04-06 23:55:12.623206,,,,9.0,,
2016-04-06 23:55:12.623602,,1.0,,,,
2016-04-06 23:55:13.402216,,,,,,1.0
2016-04-06 23:55:13.402453,,,,42.0,,
2016-04-06 23:55:13.402609,,6.0,,,,
2016-04-06 23:55:14.382137,,,,41.0,,
2016-04-06 23:55:14.382459,,8.0,,,,
2016-04-06 23:55:15.384358,,,,40.0,,
2016-04-06 23:55:16.086039,,,,,,2.0
2016-04-06 23:55:16.386690,,,,44.0,,
2016-04-06 23:55:16.387011,,6.0,,,,
2016-04-06 23:55:16.610156,,,38.91,,,
2016-04-06 23:55:16.610326,,,,4.0,,
2016-04-06 23:55:16.610709,38.92,,,,,
2016-04-06 23:55:16.610793,,17.0,,,,
2016-04-06 23:55:16.611034,,,,4.0,,
2016-04-06 23:55:16.611287,,17.0,,,,
2016-04-06 23:55:16.833284,,,,34.0,,
2016-04-06 23:55:17.056275,,,,35.0,,
2016-04-06 23:55:17.056595,,7.0,,,,
2016-04-06 23:55:17.279629,,,,,,4.0
2016-04-06 23:55:17.890457,,,,44.0,,
2016-04-06 23:55:17.890781,,5.0,,,,
2016-04-06 23:55:18.692805,,,,,38.92,
2016-04-06 23:55:18.692875,,,,,,1.0
2016-04-06 23:55:18.693060,,,,,,1.0
2016-04-06 23:55:18.693323,,,38.92,,,
2016-04-06 23:55:18.693404,,,,3.0,,
2016-04-06 23:55:18.693780,38.93,,,,,
2016-04-06 23:55:18.693845,,14.0,,,,
2016-04-06 23:55:18.694026,,,,3.0,,
2016-04-06 23:55:18.694216,,14.0,,,,
2016-04-06 23:55:18.915339,,,,9.0,,
2016-04-06 23:55:18.915584,,1.0,,,,
2016-04-06 23:55:18.915881,,,,15.0,,
2016-04-06 23:55:18.916095,,5.0,,,,
2016-04-06 23:55:19.393981,,26.0,,,,
2016-04-06 23:55:19.895122,,,,8.0,,
2016-04-06 23:55:19.895445,,7.0,,,,
2016-04-06 23:55:20.118389,,5.0,,,,
2016-04-06 23:55:20.118713,,,,6.0,,
2016-04-06 23:55:20.118978,,28.0,,,,
2016-04-06 23:55:20.696897,,,,,,2.0
2016-04-06 23:55:20.919427,,,38.91,,,
2016-04-06 23:55:20.919525,,,,41.0,,
2016-04-06 23:55:20.919682,,,,41.0,,
2016-04-06 23:55:20.919837,,51.0,,,,
2016-04-06 23:55:21.598356,,,38.92,,,
2016-04-06 23:55:21.598474,,,,1.0,,
2016-04-06 23:55:21.598664,,,,1.0,,
2016-04-06 23:55:21.598856,,45.0,,,,
2016-04-06 23:55:21.822129,,,,,,3.0
2016-04-06 23:55:22.600314,,,,3.0,,
2016-04-06 23:55:22.824045,,,38.91,,,
2016-04-06 23:55:22.824193,,,,54.0,,
2016-04-06 23:55:22.824519,,,,54.0,,
2016-04-06 23:55:22.824845,,47.0,,,,
2016-04-06 23:55:23.703149,38.92,,,,,
2016-04-06 23:55:23.703265,,18.0,,,,
2016-04-06 23:55:23.703462,,,,16.0,,
2016-04-06 23:55:23.703673,,18.0,,,,
2016-04-06 23:55:23.926340,,,,9.0,,
2016-04-06 23:55:23.926611,,24.0,,,,
2016-04-06 23:55:24.805597,,,,19.0,,
2016-04-06 23:55:24.806022,,29.0,,,,
2016-04-06 23:55:25.806638,,,,20.0,,
2016-04-06 23:55:25.807099,,31.0,,,,
2016-04-06 23:55:26.030137,,,,,,2.0
2016-04-06 23:55:26.030298,,,38.92,,,
2016-04-06 23:55:26.030335,,,,2.0,,
2016-04-06 23:55:26.030490,38.93,,,,,
2016-04-06 23:55:26.030526,,63.0,,,,
2016-04-06 23:55:26.030633,,,,2.0,,
2016-04-06 23:55:26.030745,,63.0,,,,
2016-04-06 23:55:26.030853,,,,9.0,,
2016-04-06 23:55:26.030964,,33.0,,,,
2016-04-06 23:55:27.009770,,,,5.0,,
2016-04-06 23:55:27.010080,,43.0,,,,
2016-04-06 23:55:27.634226,,,38.91,,,
2016-04-06 23:55:27.634377,,,,52.0,,
2016-04-06 23:55:27.634636,,,,52.0,,
2016-04-06 23:55:27.634892,,52.0,,,,
2016-04-06 23:55:27.856844,,,38.92,,,
2016-04-06 23:55:27.857005,,,,2.0,,
2016-04-06 23:55:27.857205,,,,2.0,,
2016-04-06 23:55:27.857402,,53.0,,,,
2016-04-06 23:55:27.858097,,,38.91,,,
2016-04-06 23:55:27.858164,,,,9.0,,
2016-04-06 23:55:27.858472,38.92,,,,,
2016-04-06 23:55:27.858532,,12.0,,,,
2016-04-06 23:55:27.858710,,,,9.0,,
2016-04-06 23:55:27.858898,,12.0,,,,
2016-04-06 23:55:28.079711,,,,8.0,,
2016-04-06 23:55:28.079964,,22.0,,,,
2016-04-06 23:55:28.613192,,,,14.0,,
2016-04-06 23:55:28.613342,,5.0,,,,
2016-04-06 23:55:29.014381,38.93,,,,,
2016-04-06 23:55:29.014494,,68.0,,,,
2016-04-06 23:55:29.014707,,,,23.0,,
2016-04-06 23:55:29.014901,,68.0,,,,
2016-04-06 23:55:29.415039,38.92,,,,,
2016-04-06 23:55:29.415153,,9.0,,,,
2016-04-06 23:55:29.415350,,,,14.0,,
2016-04-06 23:55:29.415536,,9.0,,,,
2016-04-06 23:55:29.638287,,,,24.0,,
2016-04-06 23:55:29.638607,,3.0,,,,
2016-04-06 23:55:29.861499,,,,13.0,,
2016-04-06 23:55:29.861817,,9.0,,,,
2016-04-06 23:55:30.084588,,,,12.0,,
2016-04-06 23:55:30.084860,,21.0,,,,
2016-04-06 23:55:30.502231,,,,6.0,,
2016-04-06 23:55:30.502580,,23.0,,,,
2016-04-06 23:55:30.802792,,,,,38.91,
2016-04-06 23:55:30.802832,,,,,,5.0
2016-04-06 23:55:30.802937,,,,,,5.0
2016-04-06 23:55:30.803086,,,38.9,,,
2016-04-06 23:55:30.803120,,,,6.0,,
2016-04-06 23:55:30.803270,38.91,,,,,
2016-04-06 23:55:30.803303,,26.0,,,,
2016-04-06 23:55:30.803407,,26.0,,,,
2016-04-06 23:55:31.206914,,,,,,3.0
2016-04-06 23:55:31.207167,,,,1.0,,
2016-04-06 23:55:31.207387,,50.0,,,,
2016-04-06 23:55:31.430192,,,,7.0,,
2016-04-06 23:55:31.430521,,33.0,,,,
2016-04-06 23:55:32.308601,,,,12.0,,
2016-04-06 23:55:32.308868,,7.0,,,,
2016-04-06 23:55:32.531825,,,,26.0,,
2016-04-06 23:55:32.532028,,2.0,,,,
2016-04-06 23:55:32.755146,38.92,,,,,
2016-04-06 23:55:32.755264,,82.0,,,,
2016-04-06 23:55:32.755542,,,,33.0,,
2016-04-06 23:55:32.755754,,82.0,,,,
2016-04-06 23:55:32.756027,38.91,,,,,
2016-04-06 23:55:32.756101,,1.0,,,,
2016-04-06 23:55:32.756373,,,,44.0,,
2016-04-06 23:55:32.756572,,1.0,,,,
2016-04-06 23:55:32.979162,,,,,,1.0
2016-04-06 23:55:32.979528,,,38.91,,,
2016-04-06 23:55:32.979611,,,,4.0,,
2016-04-06 23:55:32.980059,38.92,,,,,
2016-04-06 23:55:32.980163,,22.0,,,,
2016-04-06 23:55:32.980365,,,,4.0,,
2016-04-06 23:55:32.980563,,22.0,,,,
2016-04-06 23:55:33.201509,,,,12.0,,
2016-04-06 23:55:33.201754,,9.0,,,,
2016-04-06 23:55:33.544276,,,,19.0,,
2016-04-06 23:55:33.544598,,7.0,,,,
2016-04-06 23:55:33.767567,,,38.92,,,
2016-04-06 23:55:33.767718,,,,1.0,,
2016-04-06 23:55:33.768078,38.93,,,,,
2016-04-06 23:55:33.768160,,38.0,,,,
2016-04-06 23:55:33.768399,,,,1.0,,
2016-04-06 23:55:33.768649,,38.0,,,,
2016-04-06 23:55:33.768897,,,,20.0,,
2016-04-06 23:55:33.769132,,5.0,,,,
2016-04-06 23:55:33.990638,,,,11.0,,
2016-04-06 23:55:33.990836,,6.0,,,,
2016-04-06 23:55:33.990986,,,,5.0,,
2016-04-06 23:55:33.991140,,16.0,,,,
2016-04-06 23:55:34.947442,,,,3.0,,
2016-04-06 23:55:34.947730,,15.0,,,,
2016-04-06 23:55:35.170443,,,,6.0,,
2016-04-06 23:55:35.170584,,5.0,,,,
2016-04-06 23:55:35.394136,,,,3.0,,
2016-04-06 23:55:35.394463,,12.0,,,,
2016-04-06 23:55:35.650717,,,,,38.92,
2016-04-06 23:55:35.650831,,,,,,2.0
2016-04-06 23:55:35.651083,,,,,,2.0
2016-04-06 23:55:35.651441,,,38.91,,,
2016-04-06 23:55:35.651519,,,,27.0,,
2016-04-06 23:55:35.651861,38.92,,,,,
2016-04-06 23:55:35.651939,,4.0,,,,
2016-04-06 23:55:35.652185,,,,27.0,,
2016-04-06 23:55:35.652440,,4.0,,,,
2016-04-06 23:55:36.551159,,,,6.0,,
2016-04-06 23:55:36.551489,,19.0,,,,
2016-04-06 23:55:36.775343,,,38.9,,,
2016-04-06 23:55:36.775436,,,,63.0,,
2016-04-06 23:55:36.775688,,,,63.0,,
2016-04-06 23:55:36.775940,,38.0,,,,
2016-04-06 23:55:36.776281,,,38.91,,,
2016-04-06 23:55:36.776361,,,,1.0,,
2016-04-06 23:55:36.776587,,,,1.0,,
2016-04-06 23:55:36.776775,,36.0,,,,
2016-04-06 23:55:37.352908,,,,5.0,,
2016-04-06 23:55:37.353161,,15.0,,,,
2016-04-06 23:55:38.355169,,,38.9,,,
2016-04-06 23:55:38.355322,,,,53.0,,
2016-04-06 23:55:38.355860,,,,53.0,,
2016-04-06 23:55:38.356140,,45.0,,,,
2016-04-06 23:55:39.356897,,,,54.0,,
2016-04-06 23:55:39.357148,,47.0,,,,
2016-04-06 23:55:40.058545,38.91,,,,,
2016-04-06 23:55:40.058707,,53.0,,,,
2016-04-06 23:55:40.058967,,,,13.0,,
2016-04-06 23:55:40.059222,,53.0,,,,
2016-04-06 23:55:40.281273,,,,2.0,,
2016-04-06 23:55:40.281525,,66.0,,,,
2016-04-06 23:55:40.282227,,,,,38.9,
2016-04-06 23:55:40.282289,,,,,,1.0
2016-04-06 23:55:40.282470,,,,,,1.0
2016-04-06 23:55:40.282865,,,38.89,,,
2016-04-06 23:55:40.282949,,,,53.0,,
2016-04-06 23:55:40.283141,,,,53.0,,
2016-04-06 23:55:40.283333,,69.0,,,,
2016-04-06 23:55:40.504484,,,38.9,,,
2016-04-06 23:55:40.504635,,,,2.0,,
2016-04-06 23:55:40.504883,,,,2.0,,
2016-04-06 23:55:40.505134,,35.0,,,,
2016-04-06 23:55:40.505375,,,,5.0,,
2016-04-06 23:55:40.505626,,17.0,,,,
2016-04-06 23:55:41.161971,,,38.89,,,
2016-04-06 23:55:41.162062,,,,46.0,,
2016-04-06 23:55:41.162312,,,,46.0,,
2016-04-06 23:55:41.162596,,46.0,,,,
2016-04-06 23:55:41.462205,,,,57.0,,
2016-04-06 23:55:41.462406,,42.0,,,,
2016-04-06 23:55:42.063054,,,38.9,,,
2016-04-06 23:55:42.063166,,,,1.0,,
2016-04-06 23:55:42.063355,,,,1.0,,
2016-04-06 23:55:42.063546,,44.0,,,,
2016-04-06 23:55:42.586998,,,,2.0,,
2016-04-06 23:55:42.587263,,29.0,,,,
2016-04-06 23:55:42.587790,,,,1.0,,
2016-04-06 23:55:42.588033,,33.0,,,,
2016-04-06 23:55:43.467116,,,,,38.91,
2016-04-06 23:55:43.467178,,,,,,1.0
2016-04-06 23:55:43.689090,,,,6.0,,
2016-04-06 23:55:43.689419,,11.0,,,,
2016-04-06 23:55:43.689679,,,,14.0,,
2016-04-06 23:55:43.689926,,7.0,,,,
2016-04-06 23:55:43.912416,38.92,,,,,
2016-04-06 23:55:43.912569,,62.0,,,,
2016-04-06 23:55:43.912829,,,,37.0,,
2016-04-06 23:55:43.913089,,62.0,,,,
2016-04-06 23:55:44.135716,,,38.91,,,
2016-04-06 23:55:44.135869,,,,3.0,,
2016-04-06 23:55:44.136141,,,,3.0,,
2016-04-06 23:55:44.136473,,49.0,,,,
2016-04-06 23:55:44.358882,,,,11.0,,
